id0, pi0:0, 10pcs, R,1ohm, THT, 
id1, pi1:1, 10pcs, R, 2.2ohm, THT, 
id2, pi2:2, 10pcs, R, 2.7ohm, THT,
id3, pi3:3, 10pcs, R, 4.7ohm, THT, 
id4, pi4:4, 10pcs, R, 5.6ohm, THT, 
id5, pi5:5, 10pcs, R, 7.5ohm, THT,
id6, pi6:6, 10pcs, R, 8.5ohm, THT, 
id7, pi7:7, 10pcs, R, 10ohm, THT, 
id8, pi8:8, 3pcs, R, 12ohm, THT, 
id9, pi9:9, 10pcs, R, 15ohm, THT, 
id10, pi10:10, 1pcs, R, 18ohm, THT, 
id11, pi11:11, 10pcs, R, 22ohm, THT, 
id12, pi12:12, 10pcs, R, 27ohm, THT, 
id13, pi13:13, 10pcs, R, 33ohm, THT,
id14, pi14:14, 10pcs, R, 39ohm, THT, 
id15, pi15:15, 10pcs, R, 47ohm, THT, 
id16, pi16:16, 10pcs, R, 56ohm, THT, 
id17, pi17:17, 10pcs, R, 68ohm, THT, 
id18, pi18:18, 10pcs, R, 75ohm, THT, 
id19, pi19:19, 10pcs, R, 82ohm, THT, 
id20, pi20:20, 10pcs, R, 100ohm, THT, 
id21, pi21:21, 10pcs, R, 120ohm, THT, 
id22, pi22:22, 10pcs, R, 150ohm, THT, 
id23, pi23:23, 10pcs, R, 180hohm, THT, 
id24, pi24:24, 10pcs, R, 220ohm, THT, 
id25, pi25:25, 10pcs, R, 270ohm, THT, 
id26, pi26:26, 10pcs, R, 330ohm, THT, 
id27, pi27:27, 10pcs, R, 390ohm, THT, 
id28, pi28:28, 10pcs, R, 470ohm, THT, 
id29, pi29:29, 10pcs, R, 510ohm, THT, 
id30, pi30:30, 10pcs, R, 560ohm, THT, 
id31, pi31:31, 10pcs, R, 680ohm, THT, 
id32, pi32:32, 10pcs, R, 820ohm, THT, 
id33, pi33:33, 0pcs, R, 920ohm, THT, 
id34, pi34:34, 10pcs, R, 1k, THT, 
id35, pi35:35, 10pcs, R, SMD,
id36, pi36:36, 10pcs, R, SMD, 
id37, pi37:37, 10pcs, R, SMD, 
id38, pi38:38, 10pcs, R, SMD, 
id39, pi39:39, 1pcs, R, SMD, 
id40, pi40:40, 1pcs, C, SMD, 
id41, pi41:41, 1pcs, C, SMD, 
id42, pi42:42, 1pcs, C, SMD, 
id43, pi43:43, 1pcs, C, SMD, 
id44, pi44:44, 1pcs, C, SMD, 
id45, pi45:45, 1pcs, C, SMD, 
id46, pi46:46, 1pcs, C, SMD, 
id47, pi47:47, 1pcs, C, SMD, 
id48, pi48:48, 1pcs, C, SMD, 
id49, pi49:49, 1pcs, C, SMD, 
id50, pi50:50, 1pcs, C, SMD, 
id51, pi51:51, 1pcs, C, SMD, 
id52, pi52:52, 1pcs, C, SMD, 
id53, pi53:53, 1pcs, C, SMD, 
id54, pi54:54, 1pcs, C, SMD, 
id55, pi55:55, 1pcs, C, SMD, 
id56, pi56:56, 1pcs, C, SMD, 
id57, pi57:57, 1pcs, C, SMD, 
id58, pi58:58, 1pcs, C, SMD, 
id59, pi59:59, 1pcs, C, SMD, 
id60, pi60:60, 1pcs, C, SMD, 
id61, pi61:61, 1pcs, C, SMD, 
id62, pi62:62, 1pcs, C, SMD, 
id63, pi63:63, 1pcs, C, SMD, 
id64, pi64:64, 1pcs, C, SMD, 
id65, pi65:65, 1pcs, C, SMD, 
id66, pi66:66, 1pcs, C, SMD, 
id67, pi67:67, 1pcs, C, SMD, 
id68, pi68:68, 1pcs, C, SMD, 
id69, pi69:69, 1pcs, C, SMD, 
id70, pi70:70, 1pcs, C, SMD, 
id71, pi71:71, 1pcs, C, SMD, 
id72, pi72:72, 1pcs, C, SMD, 
id73, pi73:73, 1pcs, C, SMD, 
id74, pi74:74, 1pcs, C, SMD, 
id75, pi75:75, 1pcs, C, SMD, 
id76, pi76:76, 1pcs, C, SMD, 
id77, pi77:77, 1pcs, C, SMD, 
id78, pi78:78, 1pcs, C, SMD, 
id79, pi79:79, 1pcs, C, SMD, 
id80, pi80:80, 1pcs, C, SMD, 
id81, pi81:81, 1pcs, C, SMD, 
id82, pi82:82, 1pcs, C, SMD, 
id83, pi83:83, 1pcs, C, SMD, 
id84, pi84:84, 1pcs, C, SMD, 
id85, pi85:85, 1pcs, C, SMD, 
id86, pi86:86, 1pcs, C, SMD, 
id87, pi87:87, 1pcs, C, SMD, 
id88, pi88:88, 1pcs, C, SMD, 
id89, pi89:89, 1pcs, C, SMD, 
id90, pi90:90, 1pcs, C, SMD, 
id91, pi91:91, 1pcs, C, SMD, 
id92, pi92:92, 1pcs, C, SMD, 
id93, pi93:93, 1pcs, C, SMD, 
id94, pi94:94, 1pcs, C, SMD, 
id95, pi95:95, 1pcs, C, SMD, 
id96, pi96:96, 1pcs, C, SMD, 
id97, pi97:97, 1pcs, C, SMD, 
id98, pi98:98, 1pcs, C, SMD, 
id99, pi99:99, 1pcs, C, SMD, 
id100, pi100:100, 1pcs, C, SMD, 
id101, pi101:101, 1pcs, C, SMD, 
id102, pi102:102, 1pcs, C, SMD, 
id103, pi103:103, 1pcs, C, SMD, 
id104, pi104:104, 1pcs, C, SMD, 
id105, pi105:105, 1pcs, C, SMD, 
id106, pi106:106, 1pcs, C, SMD, 
id107, pi107:107, 1pcs, C, SMD, 
id108, pi108:108, 1pcs, C, SMD, 
id109, pi109:109, 1pcs, C, SMD, 
id110, pi110:110, 1pcs, C, SMD, 
id111, pi111:111, 1pcs, C, SMD, 
id112, pi112:112, 1pcs, C, SMD, 
id113, pi113:113, 1pcs, C, SMD, 
id114, pi114:114, 1pcs, C, SMD, 
id115, pi115:115, 1pcs, C, SMD, 
id116, pi116:116, 1pcs, C, SMD, 
id117, pi117:117, 1pcs, C, SMD, 
id118, pi118:118, 1pcs, C, SMD, 
id119, pi119:119, 1pcs, C, SMD, 
id120, pi120:120, 1pcs, C, SMD, 
id121, pi121:121, 1pcs, C, SMD, 
id122, pi122:122, 1pcs, C, SMD, 
id123, pi123:123, 1pcs, C, SMD, 
id124, pi124:124, 1pcs, C, SMD, 
id125, pi125:125, 1pcs, C, SMD, 
id126, pi126:126, 1pcs, C, SMD, 
id127, pi127:127, 1pcs, C, SMD, 
id128, pi128:128, 1pcs, C, SMD, 
id129, pi129:129, 1pcs, C, SMD, 
id130, pi130:130, 1pcs, C, SMD, 
id131, pi131:131, 1pcs, C, SMD, 
id132, pi132:132, 1pcs, C, SMD, 
id133, pi133:133, 1pcs, C, SMD, 
id134, pi134:134, 1pcs, C, SMD, 
id135, pi135:135, 1pcs, C, SMD, 
id136, pi136:136, 1pcs, C, SMD, 
id137, pi137:137, 1pcs, C, SMD, 
id138, pi138:138, 1pcs, C, SMD, 
id139, pi139:139, 1pcs, C, SMD, 
id140, pi140:140, 1pcs, C, SMD, 
id141, pi141:141, 1pcs, C, SMD, 
id142, pi142:142, 1pcs, C, SMD, 
id143, pi143:143, 1pcs, C, SMD, 
id144, pi144:144, 1pcs, C, SMD, 
id145, pi145:145, 1pcs, C, SMD, 
id146, pi146:146, 1pcs, C, SMD, 
id147, pi147:147, 1pcs, C, SMD, 
id148, pi148:148, 1pcs, C, SMD, 
id149, pi149:149, 1pcs, C, SMD, 
id150, pi150:150, 1pcs, C, SMD, 
id151, pi151:151, 1pcs, C, SMD, 
id152, pi152:152, 1pcs, C, SMD, 
id153, pi153:153, 1pcs, C, SMD, 
id154, pi154:154, 1pcs, C, SMD, 
id155, pi155:155, 1pcs, C, SMD, 
id156, pi156:156, 1pcs, C, SMD, 
id157, pi157:157, 1pcs, C, SMD, 
id158, pi158:158, 1pcs, C, SMD, 
id159, pi159:159, 1pcs, C, SMD, 
id160, pi160:160, 1pcs, C, SMD, 
id161, pi161:161, 1pcs, C, SMD, 
id162, pi162:162, 1pcs, C, SMD, 
id163, pi163:163, 1pcs, C, SMD, 
id164, pi164:164, 1pcs, C, SMD, 
id165, pi165:165, 1pcs, C, SMD, 
id166, pi166:166, 1pcs, C, SMD, 
id167, pi167:167, 1pcs, C, SMD, 
id168, pi168:168, 1pcs, C, SMD, 
id169, pi169:169, 1pcs, C, SMD, 
id170, pi170:170, 1pcs, C, SMD, 
id171, pi171:171, 1pcs, C, SMD, 
